trlno,duration,stochasticity
1,1.2,practice
2,1.1,practice
3,1.1,practice
4,1.1,practice
5,1.1,practice
6,1.2,practice
7,1.2,practice
8,1.2,practice
9,1.3,practice
10,1.2,practice
11,1.35,high
12,0.95,high
13,1.434,high
14,1.634,high
15,0.6,high
16,1.117,high
17,0.917,high
18,1.05,high
19,0.95,high
20,0.75,high
21,1.634,high
22,1.134,high
23,1.484,high
24,0.8,high
25,0.85,high
26,0.917,high
27,1.034,high
28,1.017,high
29,1.3,high
30,1.184,high
31,1.384,high
32,1.2,high
33,0.9,high
34,1.15,high
35,0.85,high
36,0.783,high
37,1.134,high
38,0.967,high
39,1.3,high
40,0.967,high
41,1.25,high
42,1.484,high
43,1.4,high
44,1.267,high
45,0.9,high
46,0.934,high
47,1.8,high
48,1.25,high
49,1.1,high
50,0.834,high
51,1.534,high
52,1.217,high
53,1.4,high
54,1.15,high
55,1.484,high
56,0.783,high
57,0.917,high
58,1.7,high
59,1.25,high
60,0.834,high
61,1.317,high
62,1.134,high
63,0.8,high
64,0.633,high
65,1.0,high
66,1.334,high
67,0.934,high
68,1.084,high
69,1.334,high
70,1.067,high
71,1.234,high
72,0.683,high
73,0.783,high
74,1.284,high
75,0.967,high
76,1.05,high
77,1.284,high
78,0.75,high
79,0.683,high
80,1.084,high
81,1.067,high
82,1.267,high
83,0.95,high
84,1.417,high
85,0.867,high
86,1.05,high
87,0.85,high
88,1.05,high
89,1.55,high
90,1.4,high
91,1.234,high
92,1.217,high
93,1.15,high
94,1.1,high
95,1.0,high
96,1.4,high
97,1.334,high
98,0.95,high
99,1.267,high
100,0.783,high
101,0.75,high
102,0.667,high
103,1.284,high
104,0.717,high
105,1.45,high
106,0.834,high
107,0.95,high
108,0.85,high
109,1.017,high
110,1.0,high
111,0.633,low
112,0.683,low
113,0.917,low
114,0.783,low
115,0.6,low
116,0.834,low
117,0.867,low
118,0.85,low
119,0.934,low
120,1.067,low
121,1.0,low
122,0.75,low
123,0.917,low
124,0.9,low
125,1.0,low
126,1.084,low
127,1.0,low
128,1.184,low
129,1.334,low
130,1.284,low
131,1.234,low
132,1.434,low
133,1.534,low
134,1.284,low
135,1.3,low
136,1.134,low
137,1.3,low
138,1.1,low
139,1.05,low
140,1.25,low
141,1.334,low
142,1.45,low
143,1.7,low
144,1.8,low
145,1.634,low
146,1.55,low
147,1.634,low
148,1.484,low
149,1.4,low
150,1.017,low
151,0.95,low
152,0.783,low
153,0.667,low
154,0.683,low
155,0.8,low
156,0.834,low
157,0.783,low
158,0.95,low
159,0.967,low
160,1.217,low
161,1.017,low
162,1.217,low
163,1.35,low
164,1.25,low
165,1.05,low
166,1.2,low
167,1.334,low
168,1.384,low
169,1.4,low
170,1.134,low
171,0.917,low
172,0.967,low
173,1.05,low
174,1.25,low
175,1.317,low
176,1.234,low
177,1.15,low
178,1.084,low
179,1.15,low
180,1.117,low
181,0.95,low
182,0.834,low
183,0.85,low
184,0.8,low
185,1.1,low
186,0.934,low
187,1.15,low
188,1.417,low
189,1.4,low
190,1.267,low
191,1.484,low
192,1.484,low
193,1.284,low
194,1.267,low
195,1.4,low
196,1.267,low
197,0.967,low
198,1.134,low
199,1.05,low
200,0.85,low
201,0.75,low
202,0.95,low
203,1.034,low
204,0.9,low
205,0.85,low
206,0.75,low
207,0.783,low
208,0.717,low
209,0.95,low
210,1.067,low
